연번,업체명,이메일 주소,대표자(익명),벤처확인유형,지역,간략주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규/재확인
28,(주) 수도그룹,,김**,혁신성장유형,부산,부산 영도구,제조업,그 외 기타 의료용 기기 제조업,의료기기,20260331,20290330,벤처기업확인기관,신규
29,주식회사 에코모션,,조**,혁신성장유형,전남,전라남도 나주시,제조업,전동기 및 발전기 제조업,"HVPS, 스마트제어판넬, 플라즈마 AOP, AST, AI 기반 AST 설계 자동화 프로그램",20260331,20290330,벤처기업확인기관,신규
30,주식회사 위시빌더,CEO@wishbuilder.co.kr ,김**,연구개발유형,서울,서울특별시 도봉구,제조업,그 외 기타 분류 안된 화학제품 제조업,"융복합무기응집수처리제(퓨어위시), 이동식모듈형수처리시스템(위시웰)",20260331,20290330,벤처기업확인기관,신규
31,주식회사 브릿지팩트에프앤비,,김**,벤처투자유형,경기,경기도 용인시,제조업,빵류 제조업,베이커리 즉석판매제조가공업,20260331,20290330,벤처기업확인기관,신규
32,주식회사 브레드45에프앤비,,정**,혁신성장유형,경남,경상남도 창원시,제조업,과자류 및 코코아 제품 제조업,베이커리,20260331,20290330,벤처기업확인기관,신규
33,주식회사 문도에이아이(MOONDOOR AI),,신**,혁신성장유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,텍스트를 웹툰 및 숏츠로 자동생성하는 AI 서비스 ,20260331,20290330,벤처기업확인기관,신규
34,주식회사 이룬정보기술,,이**,혁신성장유형,경기,경기도 고양시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"차량번호인식시스템, 주차관제시스템",20260331,20290330,벤처기업확인기관,신규
35,"주식회사 엑스브릿지 (XBridge Co., Ltd.)",beejay.lee@xbridge.kr,이**,혁신성장유형,전북,전북특별자치도 전주시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 기반 수출입 원스탑 운영 SaaS (플랫폼),20260331,20290330,벤처기업확인기관,신규
36,다른오름농업회사법인주식회사,,김**,혁신성장유형,전북,전북특별자치도 전주시,제조업,탁주 및 약주 제조업,"탁주, 약주, 기타주류",20260331,20290330,벤처기업확인기관,신규
37,니츠주식회사,,이**,벤처투자유형,서울,서울 서초구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"컴퓨터 시스템 통합자문,구축 서비스",20260331,20290330,벤처기업확인기관,신규
38,주식회사 퓨처리스텍, futuristec1@gmail.com,신**,벤처투자유형,인천,인천광역시 연수구,제조업,기타 주변기기 제조업,링마우스,20260331,20290330,벤처기업확인기관,신규
39,주식회사 케이브레이커,,최**,혁신성장유형,경북,경상북도 경산시,제조업,유압기기 제조업,유압브레이커,20260331,20290330,벤처기업확인기관,신규
40,뮤니쿤트(MUNIKUND),munikund@naver.com,허**,혁신성장유형,서울,서울특별시 서대문구,제조업,그 외 기타 분류 안된 섬유제품 제조업,반려견 기능성 의류 및 용품,20260331,20290330,벤처기업확인기관,신규
41,주식회사 에이엑스솔루션즈,,장**,혁신성장유형,경남,경남 진주시,정보처리S/W,그 외 기타 정보 서비스업,소프트웨어,20260331,20290330,벤처기업확인기관,신규
42,주식회사 데브올컴퍼니,contact@devall.org,"이**,이**",벤처투자유형,부산,부산광역시 연제구,정보처리S/W,응용 소프트웨어 개발 및 공급업,데브올,20260331,20290330,벤처기업확인기관,신규
43,주식회사 아이온스,,박**,혁신성장유형,경기,경기도 안양시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"HMI 소프트웨어 개발, 수처리 공정 프로그램 개발, 수처리 분야 유지보수 업무",20260331,20290330,벤처기업확인기관,신규
44,(주)더마트릭스, contact@dermatrix.io,김**,벤처투자유형,대구,대구광역시 수성구,정보처리S/W,응용 소프트웨어 개발 및 공급업,의료 데이터 솔루션,20260331,20290330,벤처기업확인기관,신규
45,키토케토 주식회사(KITOKETO INC.),ales@woorooroo.com,박**,혁신성장유형,경기,경기도 안산시,제조업,그 외 기타 식료품 제조업,"다이어트 혈당 건강식품 (다크MCT초콜릿, 피넛MCT크런치, 제로떡볶이, 제로쫄면, 투투컷, 혈당컷타임)",20260331,20290330,벤처기업확인기관,신규
46,이씨아이 주식회사,,이**,벤처투자유형,충남,충청남도 천안시,제조업,자동차 차체용 신품 부품 제조업,자동차 디스플레이 모듈 제조,20260331,20290330,벤처기업확인기관,신규
47,주식회사 그룹짓다,,김**,벤처투자유형,대전,대전광역시 유성구,제조업,산업용 로봇 제조업,코딩 교육 교구,20260331,20290330,벤처기업확인기관,신규
48,주식회사 디아이큐,,윤**,혁신성장유형,부산,부산광역시 동구,제조업,치과용 기기 제조업,치과용 의료기기,20260331,20290330,벤처기업확인기관,신규
49,주식회사 그린망고,abo_11@naver.com ,유**,혁신성장유형,충남,충청남도 천안시,제조업,기타 무선 통신장비 제조업,안드로이드 미니 키오스크,20260325,20290324,벤처기업확인기관,신규
50,주식회사 세미솔,,전**,혁신성장유형,경기,경기도 오산시,제조업,반도체 제조용 기계 제조업,"CDS(Chemical Delivery System), Robot 등",20260325,20290324,벤처기업확인기관,신규
51,주식회사 위컴즈,weders@wecoms.co.kr,하**,혁신성장유형,서울,서울 금천구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,상담어플리케이션 및 초정밀 이동체 관제서비스,20260325,20290324,벤처기업확인기관,신규
52,주식회사선도기술, sdt0401@hanmail.net ,김**,혁신성장유형,경남,경상남도 김해시,제조업,금속탱크 및 저장용기 제조업,밸브실,20260325,20290324,벤처기업확인기관,신규
53,주식회사 시그테코,,허**,혁신성장유형,충북,충청북도 음성군,제조업,접착제 및 젤라틴 제조업,폴리우레탄 반응성 접착제,20260325,20290324,벤처기업확인기관,신규
54,주식회사 메디코니, info@mediconny.com,박**,혁신성장유형,경기,경기도 남양주시,제조업,그 외 기타 의료용품 및 의약 관련제품 제조업,다기능 지혈대,20260325,20290324,벤처기업확인기관,신규
55,주식회사 에이아이플로우,,박**,혁신성장유형,경기,경기도 부천시,정보처리S/W,응용 소프트웨어 개발 및 공급업,의료기기(패치형 인슐린펌프),20260325,20290324,벤처기업확인기관,신규
56,케이제이솔루션스(주),,김**,혁신성장유형,인천,인천광역시 부평구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"도서,완구,학습프로그램",20260325,20290324,벤처기업확인기관,신규
57,주식회사 에프에스2 (FS2 Inc.),,"김**,배**",연구개발유형,서울,서울특별시 강서구,제조업,기타 반도체소자 제조업,2차원 반도체 및 3차원 반도체 집적 기술,20260325,20290324,벤처기업확인기관,신규
58,주식회사 펑,,"전**,김**",혁신성장유형,강원,강원특별자치도 양양군,제조업,기타 운동 및 경기용구 제조업,전동서핑보드,20260325,20290324,벤처기업확인기관,신규
59,주식회사 뉴런소프트,,최**,벤처투자유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어,20260325,20290324,벤처기업확인기관,신규
60,대신파트너스 주식회사,,한**,혁신성장유형,서울,서울특별시 구로구,제조업,배전반 및 전기 자동제어반 제조업,자동제어공학 기술서비스,20260325,20290324,벤처기업확인기관,신규
61,에스디솔루션 주식회사,,한**,혁신성장유형,경남,경남 김해시,제조업,그 외 기타 분류 안된 금속 가공 제품 제조업,가로등주,20260325,20290324,벤처기업확인기관,신규
62,(주)홍시궁,,유**,벤처투자유형,전북,전북특별자치도 전주시,제조업,떡류 제조업,"떡,빵,과자 제조,도매/가공식품,커피,차 도매,전자상거래",20260325,20290324,벤처기업확인기관,신규
63,주식회사 신우테크코리아,,박**,혁신성장유형,경기,경기도 평택시,제조업,그 외 기타 고무제품 제조업,"밥솥케이스, 비데케이스",20260325,20290324,벤처기업확인기관,신규
64,우분트디자인,,송**,혁신성장유형,서울,서울 강남구,제조업,그 외 기타 가구 제조업,아크릴 진열장,20260325,20290324,벤처기업확인기관,신규
65,주식회사 조인트솔루션,,이**,혁신성장유형,경기,경기도 오산시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,턱관절운동장치,20260325,20290324,벤처기업확인기관,신규
66,주식회사 켐바이,,최**,혁신성장유형,서울,서울특별시 동대문구,정보처리S/W,데이터베이스 및 온라인정보 제공업,화학물질 독성예측 서비스,20260325,20290324,벤처기업확인기관,신규
67,지니더바틀(주),,조**,혁신성장유형,서울,서울특별시 강남구,제조업,화장품 제조업,"샴푸, 로션",20260325,20290324,벤처기업확인기관,신규
68,테크몬 주식회사,,이**,혁신성장유형,부산,부산광역시 해운대구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"AI, 산업용 S/W",20260325,20290324,벤처기업확인기관,신규
69,주식회사 비케이테크(BK tech),,김**,혁신성장유형,전북,전북특별자치도 전주시,제조업,구조용 금속 판제품 및 공작물 제조업,"도장,습식,방수,석공사업",20260325,20290324,벤처기업확인기관,신규
70,주식회사 마인드클라인코리아,,이**,혁신성장유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 개발,20260325,20290324,벤처기업확인기관,신규
71,피지 솔루션,,"구**,윤**",혁신성장유형,경남,경상남도 창원시,제조업,그 외 자동차용 신품 부품 제조업,항공엔진.산업기계부품. 자동차부품,20260325,20290324,벤처기업확인기관,신규
72,위하다글로벌(주),,차**,혁신성장유형,서울,서울특별시 금천구,제조업,그 외 기타 식료품 제조업,건강기능식품,20260325,20290324,벤처기업확인기관,신규
73,주식회사 태바콘크리트,,김**,혁신성장유형,경기,경기도 여주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,콘크리트패널,20260325,20290324,벤처기업확인기관,신규
74,주식회사 프라임랩스,,김**,혁신성장유형,경기,경기 고양시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"시스템, 응용 소프트웨어 개발 및 공급, 광고대행",20260325,20290324,벤처기업확인기관,신규
75,주식회사 더자란,,"임**,왕**",혁신성장유형,경기,경기도 김포시,제조업,농업 및 임업용 기계 제조업,수경재배기,20260325,20290324,벤처기업확인기관,신규
76,주식회사 대체불가능회사,,이**,혁신성장유형,서울,서울특별시 금천구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"모바일 어플리케이션, 시스템 소프트웨어",20260325,20290324,벤처기업확인기관,신규
77,주식회사 닥터블룸,,양**,혁신성장유형,인천,인천광역시 연수구,제조업,건강기능식품 제조업,"식품, 건강기능식품 oem 생산 제조업, 레시피 개발,",20260325,20290324,벤처기업확인기관,신규
78,(주)에이아이엠엔지니어링,,서**,혁신성장유형,경기,경기도 의왕시,제조업,반도체 제조용 기계 제조업,반도체 Test Handler,20260325,20290324,벤처기업확인기관,신규
79,주식회사 금강환경,,김**,혁신성장유형,전북,전북특별자치도 정읍시,제조업,설치용 및 위생용 플라스틱제품 제조업,"FRP 개인하수처리시설, 고효율 접촉여재",20260325,20290324,벤처기업확인기관,신규
80,텍시스 주식회사,,박**,혁신성장유형,경기,경기도 과천시,제조업,"전자기 측정, 시험 및 분석기구 제조업",시험측정기기,20260325,20290324,벤처기업확인기관,신규
81,와이피알이엠티 주식회사,,류**,혁신성장유형,경기,경기도 수원시,제조업,전동기 및 발전기 제조업,전기자동차용 구동모터 외,20260325,20290324,벤처기업확인기관,신규
82,주식회사 더프로와이즈,,김**,혁신성장유형,충북,충청북도 청주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,ess저장장치 및 소화약제 제조,20260325,20290324,벤처기업확인기관,신규
83,주식회사 엘리온메디,,"김**,김**",벤처투자유형,경기,경기도 남양주시,제조업,전기식 진단 및 요법 기기 제조업,한의학 전용 체외충격파 치료 장비,20260325,20290324,벤처기업확인기관,신규
84,(주)한신엠텍,,윤**,혁신성장유형,부산,부산광역시 기장군,제조업,자동차 차체용 신품 부품 제조업,"선바이저 스프링, 인서트 와이어, Shaft류",20260325,20290324,벤처기업확인기관,신규
85,지우데이타 주식회사,,"이**,차**",혁신성장유형,경기,경기도 파주시,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"AI기반 ROCKER VDI, 통합관제, 냉각시스템 플랫폼 개발 서비스",20260325,20290324,벤처기업확인기관,신규
86,코레온(COREON),,이**,혁신성장유형,인천,인천광역시 중구,제조업,기타 물품 취급장비 제조업,특허기반 중대재해 통합 안전 솔루션,20260325,20290324,벤처기업확인기관,신규
87,"주식회사 플랜홈 (PLANHOM Co., Ltd.)",,이**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,3D 인테리어 디자인 플랫폼,20260325,20290324,벤처기업확인기관,신규
88,주식회사 파이안솔루션,,한**,연구개발유형,인천,인천광역시 연수구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,시니어플랫폼. A-IoT 솔루션,20260325,20290324,벤처기업확인기관,신규
89,플루언스랩(fluencelab),,김**,혁신성장유형,서울,서울특별시 금천구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"Ai 기반 인플루언서(네이버 블로그, 유튜브 등) 통합 분석/검색 및 자동 리포트 솔루션",20260325,20290324,벤처기업확인기관,신규
90,케이바이오게이트웨이 주식회사,,조**,벤처투자유형,충남,충청남도 천안시,제조업,건강기능식품 제조업,컨설팅업 및 도소매업,20260325,20290324,벤처기업확인기관,신규
91,주식회사 닥터그레인,,한**,벤처투자유형,경기,경기도 용인시,제조업,기타 곡물 가공품 제조업,"곡물가공식품 및 농산물 유통,판매",20260325,20290324,벤처기업확인기관,신규
92,주식회사 에피코드,,김**,벤처투자유형,인천,인천광역시 부평구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 소상공인 급여관리 SaaS 서비스 ,20260325,20290324,벤처기업확인기관,신규
93,(주)커스텀팩키지,,천**,벤처투자유형,경기,경기도 남양주시,제조업,기타 종이 상자 및 용기 제조업,종이상자,20260325,20290324,벤처기업확인기관,신규
94,주식회사 커넥트풀,,서**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,전문사회자 용역서비스,20260325,20290324,벤처기업확인기관,신규
95,주식회사 달구,,박**,벤처투자유형,광주,광주광역시 동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"앰뷸런스서비스, 소프트웨어, 플랫폼",20260325,20290324,벤처기업확인기관,신규
96,주식회사 빌드하다,,김**,벤처투자유형,경기,경기도 성남시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"앱, 웹 서비스",20260325,20290324,벤처기업확인기관,신규
97,(주)그린캐치,,공**,벤처투자유형,경기,경기도 부천시,제조업,낚시 및 수렵용구 제조업,"낚시 및 수렵용구, 낚시용품 제조",20260325,20290324,벤처기업확인기관,신규
98,주식회사 얼라이브스튜디오,,오**,벤처투자유형,서울,서울특별시 서초구,정보처리S/W,응용 소프트웨어 개발 및 공급업,모바일 쿠폰 플랫폼,20260325,20290324,벤처기업확인기관,신규
99,주식회사 네이처인,,김**,혁신성장유형,경기,경기도 안양시,제조업,단미 사료 및 기타 사료 제조업,펫푸드,20260324,20290323,벤처기업확인기관,신규
100,주식회사 어시스타(ASSISTAR),,이**,혁신성장유형,인천,인천광역시 미추홀구,제조업,"체조, 육상 및 체력단련용 장비 제조업","디지털헬스머신, 자동화운동기기, 로봇 이용 스포츠 서비스, 로봇용 S/W 개발 및 공급",20260324,20290323,벤처기업확인기관,신규
101,(주)넥스벨바이오텍,,김**,연구개발유형,충북,충청북도 청주시,제조업,화장품 제조업,스킨부스터 외,20260324,20290323,벤처기업확인기관,신규
102,주식회사 알지에이아이엔씨,,김**,연구개발유형,서울,서울특별시 서초구,연구개발서비스,전기ㆍ전자공학 연구개발업,AI 및 로보틱스 기술 기반 사족보행 로봇 연구 · 개발,20260324,20290323,벤처기업확인기관,신규
103,더닿음,,김**,혁신성장유형,경기,경기도 남양주시,제조업,화장품 제조업,화장품,20260324,20290323,벤처기업확인기관,신규
104,주식회사 제이디원,,정**,연구개발유형,경기,경기도 평택시,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용 소프트웨어,20260324,20290323,벤처기업확인기관,신규
105,주식회사 디에스테크노,,신**,혁신성장유형,경기,경기도 시흥시,제조업,기어 및 동력전달장치 제조업,감속기,20260324,20290323,벤처기업확인기관,신규
106,브레멘 F&B,,"김**,이**",혁신성장유형,경기,경기도 군포시,제조업,기타 식사용 가공처리 조리식품 제조업,곱대창전골,20260324,20290323,벤처기업확인기관,신규
107,주식회사 무한에너지,,권**,혁신성장유형,경기,경기도 가평군,제조업,에너지 저장장치 제조업,태양광 시스템 발전소,20260324,20290323,벤처기업확인기관,신규
108,주식회사 케이에스 에벤에셀 어업회사법인,,"손**,강**",벤처투자유형,충남,충청남도 태안군,"농,어,임,광업",내수면 양식 어업,수산물 부화 및 수산종자 생산업,20260324,20290323,벤처기업확인기관,신규
109,주식회사 케이에스 마린바이오텍,,"손**,강**",벤처투자유형,충남,충청남도 태안군,제조업,그 외 기타 의료용품 및 의약 관련제품 제조업,"PN, PDRN",20260324,20290323,벤처기업확인기관,신규
110,주식회사 조광테크,,조**,혁신성장유형,경남,경남 김해시,제조업,폴리스티렌 발포 성형제품 제조업,폴리스티렌 발포 성형제품 제조업,20260324,20290323,벤처기업확인기관,신규
111,텔어스 주식회사,,정**,벤처투자유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급업,Saas 서비스 제공,번역 및 통역 서비스업,교육서비스업",20260324,20290323,벤처기업확인기관,신규
112,주식회사 밤빗,,송**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 서비스,20260324,20290323,벤처기업확인기관,신규
113,주식회사 세라썸,,김**,혁신성장유형,경기,경기도 하남시,연구개발서비스,기타 공학 연구개발업,세라믹 재료,20260324,20290323,벤처기업확인기관,신규
114,주식회사 유제이플러스,,김**,혁신성장유형,제주,제주특별자치도 제주시,제조업,기타 과실ㆍ채소 가공 및 저장 처리업,"감귤칩, 그레놀라",20260324,20290323,벤처기업확인기관,신규
115,주식회사 해솔,,이**,혁신성장유형,경기,경기도 화성시,제조업,기타 구조용 금속제품 제조업,무인단속카메라함체 금속가공품,20260324,20290323,벤처기업확인기관,신규
116,주식회사 스마트플로텍,,이**,혁신성장유형,충북,충북 음성군,제조업,일반용 도료 및 관련제품 제조업,폴리우레아 수지 제조 및 방수 공사,20260324,20290323,벤처기업확인기관,신규
117,농업회사법인 한둘푸드 주식회사(지점),,"신**,이**",혁신성장유형,인천,인천광역시 서구,제조업,두부 및 유사식품 제조업,두부로 만든면,20260324,20290323,벤처기업확인기관,신규
118,주식회사 아이넥스,,장**,혁신성장유형,경북,경상북도 경산시,제조업,방송장비 제조업,영상감시장치 외,20260324,20290323,벤처기업확인기관,신규
119,주식회사  마스나인,,이**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,미국 태권도장 운영 관리 SaaS 솔루션,20260324,20290323,벤처기업확인기관,신규
120,주식회사 삼흥,,"유**,김**",혁신성장유형,경기,경기도 포천시,제조업,그 외 기타 금속가공업,"배전반, 분전반 기타 기계 케이스, 기계 부품",20260324,20290323,벤처기업확인기관,신규
121,주식회사호연소프트,,임**,혁신성장유형,서울,서울특별시 강서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"모바일앱, 웹",20260324,20290323,벤처기업확인기관,신규
122,농업회사법인주식회사한울,,이**,혁신성장유형,충남,충청남도 아산시,제조업,그 외 기타 식료품 제조업,구운계란,20260324,20290323,벤처기업확인기관,신규
123,주식회사 메지온,,박**,벤처투자유형,서울,서울 강남구,연구개발서비스,의학 및 약학 연구개발업,"사료/ 발기부전증치료제, 폰탄치료제등연구개발",20260324,20290323,벤처기업확인기관,신규
124,주식회사 디앤에스산업,,차**,혁신성장유형,경기,경기도 고양시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"소변기 감지기 ,센서 ",20260324,20290323,벤처기업확인기관,신규
125,주식회사 인포펫,,조**,벤처투자유형,서울,서울특별시 서대문구,정보처리S/W,응용 소프트웨어 개발 및 공급업,반려동물 생애주기 관리 소프트웨어 개발 및 공급,20260324,20290323,벤처기업확인기관,신규
126,주식회사 루멘룩스,,임**,혁신성장유형,경기,경기도 부천시,제조업,일반용 전기 조명장치 제조업,LED BAR 모듈 램프 SMPS,20260324,20290323,벤처기업확인기관,신규
127,(주)바오밥케어,,김**,혁신성장유형,충북,충청북도 청주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,어린이 층간소음 방지매트,20260324,20290323,벤처기업확인기관,신규
128,주식회사트루필,,김**,벤처투자유형,경기,경기도 남양주시,제조업,건강기능식품 제조업,건강식품 배합환 (동명정환),20260324,20290323,벤처기업확인기관,신규
129,아틀리에엑스(주)(ATELIER X Inc.),,박**,혁신성장유형,서울,서울특별시 종로구,제조업,사무 및 회화용품 제조업,"작품보관아트백, 캔버스, 원목올림액자프레임, 아크릴관액자",20260324,20290323,벤처기업확인기관,신규
130,주식회사 라이프앤퍼즐,,금**,혁신성장유형,경기,경기도 용인시,제조업,기타 가정용 전기기기 제조업,헤드웨어 살균건조기,20260324,20290323,벤처기업확인기관,신규
131,다성피앤씨 주식회사,,양**,혁신성장유형,충북,충청북도 음성군,제조업,기타 종이 및 판지 제조업,종이제품,20260324,20290323,벤처기업확인기관,신규
132,주식회사 제이라이언,,이**,벤처투자유형,서울,서울특별시 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,창업가를 위한 온오프라인 플랫폼,20260324,20290323,벤처기업확인기관,신규
133,주식회사 엔클레버,,장**,혁신성장유형,대구,대구광역시 달서구,제조업,그 외 기타 일반목적용 기계 제조업,"산업기계 설계업, 플랜트 기자재 가공 및 제조업, 기계부품 가공업",20260324,20290323,벤처기업확인기관,신규
